nom de la revue,issn,rang,domaine
Career Development International,1362-0436,4,HRM
Communication et Management,1779-3572,4,GEN MAN
"Communications of the Association 
for Information Systems",1529-3181,4,MIS
Competition and Change,1024-5294,3,GEN MAN
"Comptabilité, Contrôle, Audit",1262-2788,2,ACC
Computers & Industrial Engineering,0360-8352,3,MIS
Consumption Markets & Culture,1025-3866,3,MKG
Contemporary Accounting Research,0823-9150,1,ACC
"Corporate Governance: 
An International Review",0964-8410,3,"GEN MAN/
FIN"
"Corporate Social Responsibility 
and Environmental Management",1535-3966,3,GEN MAN
"Creativity and Innovation 
Management",0963-1690,3,INNOV
Creativity Research Journal,1040-0419,4,APP PSY/SOC
Critical Perspectives on Accounting,1045-2354,2,ACC
"Critical Perspectives on 
International Business",1742-2043,4,STRAT
"Cross Cultural & Strategic 
Management",2059-5794,4,STRAT
Culture and Organization,1475-9551,4,ORG STUD
Current Issues in Tourism,1368-3500,3,TOUR
"Data Base for Advances 
in Information Systems",1532-0936,4,MIS
Decision Sciences,0011-7315,2,MIS/LOG
Decision Support Systems,0167-9236,1,MIS
Décisions Marketing,0779-7389,3,MKG
Economic and Industrial Democracy,0143-831X,3,HRM
"Economics of Innovation 
and New Technology",1043-8599,4,INNOV
"Electronic Commerce Research 
and Applications",1567-4223,3,GEN MAN
Electronic Markets,1019-6781,3,MIS
Emerging Markets Review,1566-0141,3,FIN
Employee Relations,0142-5455,3,HRM
Enterprise & Society,1467-2227,3,BUS HIST
Entreprendre & Innover,2034-7634,4,INNOV
"Entrepreneurship 
and Regional Development",0898-5626,2,INNOV
Entrepreneurship Research Journal,2157-5665,4,INNOV
"Entrepreneurship: 
Theory and Practice",1042-2587,1,INNOV
Entreprises et Histoire,1161-2770,4,BUS HIST
Europe-Asia Studies,0966-8136,4,GEN MAN
European Accounting Review,0963-8180,2,ACC
European Business Review,0955-534X,3,GEN MAN
European Financial Management,1354-7798,3,FIN
"European Journal of Industrial 
Relations",0959-6801,3,HRM
"European Journal of Information 
Systems",0960-085X,1,MIS
"European Journal of Innovation 
Management",1460-1060,4,INNOV
"European Journal of International 
Management",1751-6757,4,GEN MAN
European Journal of Marketing,0309-0566,3,MKG
"European Journal of Operational 
Research",0377-2217,1,LOG
European Journal of Public Health,1101-1262,3,HLTH
"European Journal of the History 
of Economic Thought",0967-2567,3,BUS HIST
"European Journal of Work & 
Organizational Psychology",1359-432X,3,HRM
European Management Journal,0263-2373,3,GEN MAN
European Management Review,1740-4754,2,GEN MAN
"Evaluation: The International Journal 
of Theory, Research and Practice",1356-3890,3,PUB SEC
Expert Systems with Applications,0957-4174,3,MIS
Family Business Review,0894-4865,2,INNOV
Finance,0752-6180,2,FIN
Finance and Stochastics,0949-2984,2,FIN
Finance Contrôle Stratégie,1287-1141,3,GEN MAN
Finance Research Letters,1544-6123,3,FIN
"Financial Accountability and 
Management",0267-4424,3,ACC
Financial Analysts Journal,0015-198X,2,FIN
Financial History Review,0968-5650,4,BUS HIST
Financial Management,0046-3892,2,FIN
"Financial Markets 
and Portfolio Management",1555-4961,4,FIN
"Financial Markets, Institutions 
& Instruments",0963-8008,3,FIN
Financial Review,0732-8516,3,FIN
"Flexible Services and Manufacturing 
Journal (ex International Journal of 
Flexible Manufacturing Systems)",1936-6582,3,LOG
Futures,0016-3287,3,INNOV
"Gender, Work and Organization",0968-6673,3,HRM
"Geneva Papers on Risk and 
Insurance - Issues and Practice",1018-5895,3,FIN
Gérer et Comprendre,0295-4397,3,GEN MAN
"Gestion - Revue Internationale 
de Gestion",0701-0028,4,GEN MAN
Gestion 2000,0773-0543,4,GEN MAN
Gestion et Management Public,2116-8865,3,PUB SEC
Global Finance Journal,1044-0283,4,FIN
Global Strategy Journal,2042-5791,3,STRAT
Governance,0952-1895,3,PUB SEC
Group and Organization Management,1059-6011,2,HRM
Group Decision and Negotiation,0926-2644,3,HRM
"Group Dynamics: Theory, Research 
and Practice",1089-2699,3,ORG STUD
"Group Processes and Intergroup 
Relations",1368-4302,3,ORG STUD
Harvard Business Review,0017-8012,2,GEN MAN
Health Affairs,0278-2715,1,HLTH
Health Care Management Review,0361-6274,3,HLTH
Health Care Management Science,1386-9620,3,HLTH
Health Policy,0168-8510,2,HLTH
Health Policy and Planning,0268-1080,3,HLTH
"Health Services Management 
Research",0951-4848,4,HLTH
Health Services Research,0017-9124,2,HLTH
Human Performance,0895-9285,3,HRM
Human Relations,0018-7267,1,HRM
"Human Resource Development 
Review",1534-4843,4,HRM
Human Resource Management,0090-4848,1,HRM
"Human Resource Management 
Journal",0954-5395,2,HRM
"Human Resource Management 
Review",1053-4822,2,HRM
"IEEE Transactions on Engineering 
Management",0018-9391,2,MIS
"IEEE Transactions on Human-
Machine Systems",2168-2291,3,MIS
"IEEE Transactions on Knowledge 
and Data Engineering",1041-4347,3,MIS
"IEEE Transactions on Software 
Engineering",0098-5589,3,MIS
"IEEE Transactions on Systems, Man, 
and Cybernetics: Systems",2168-2216,3,MIS
"ILR Review (ex Industrial and Labor 
Relations Review)",0019-7939,3,HRM
Implementation Science,1748-5908,3,HLTH
Industrial and Corporate Change,0960-6491,2,GEN MAN
"Industrial and Organizational 
Psychology: Perspectives on Science 
and Practice",1754-9426,2,HRM
"Industrial Management and Data 
Systems",0263-5577,3,LOG
Industrial Marketing Management,0019-8501,2,MKG
Industrial Relations,0019-8676,2,HRM
Industry and Innovation,1366-2716,3,INNOV
Information and Management,0378-7206,1,MIS
Information and Organization,1471-7727,2,MIS
Information Systems Frontiers,1387-3326,3,MIS
Information Systems Journal,1350-1917,1,MIS
Information Systems Research,1047-7047,1,MIS
Information Technology and People,0959-3845,3,MIS
"Innovations - Revue d’Economie et 
de Management de l’Innovation /
Journal of Innovation Economics and 
Management",1267-4982,3,INNOV
"Insurance: Mathematics and 
Economics",0167-6687,3,FIN
International Business Review,0969-5931,2,STRAT
"International Entrepreneurship and 
Management Journal",1554-7191,3,INNOV
"International Journal for Quality 
in Health Care",1353-4505,4,HLTH
International Journal of Advertising,0265-0487,3,MKG
"International Journal of Arts 
Management",1480-8986,4,GEN MAN
International Journal of Auditing,1090-6738,3,ACC
"International Journal of Bank 
Marketing",0265-2323,4,MKG
"International Journal of Cross 
Cultural Management",1470-5958,4,STRAT
"International Journal of Electronic 
Commerce",1086-4415,2,MIS
"International Journal of Entrepreneurial 
Behaviour and Research",1355-2554,3,INNOV
"International Journal of 
Entrepreneurship and Innovation",1465-7503,4,INNOV
"International Journal of 
Entrepreneurship and 
Innovation Management",1368-275X,4,INNOV
"International Journal of 
Entrepreneurship and Small Business",1476-1297,4,INNOV
International Journal of Forecasting,0169-2070,3,LOG / STRAT
"International Journal of Health 
Economics and Management",2199-9023,4,HLTH
"International Journal of Health 
Planning and Management",0749-6753,4,HLTH
"International Journal of Hospitality 
Management",0278-4319,3,TOUR
"International Journal of Human 
Computer Studies",1071-5819,3,MIS
"International Journal of Human 
Resource Management",0958-5192,2,HRM
"International Journal of Information 
Management",0268-4012,2,MIS
"International Journal of Innovation 
Management",1363-9196,4,INNOV
"International Journal of Logistics 
Research and Applications",1367-5567,3,LOG
"International Journal of Management 
Reviews",1460-8545,2,GEN MAN
International Journal of Manpower,0143-7720,4,HRM
"International Journal of Manufacturing 
Technology and Management",1368-2148,4,LOG
"International Journal of Market 
Research",1470-7853,3,MKG
"International Journal of Operations 
and Production Management",0144-3577,2,LOG
"International Journal of Physical 
Distribution and Logistics Management",0960-0035,2,LOG
"International Journal of Production 
Economics",0925-5273,1,LOG
"International Journal of Production 
Research",0020-7543,2,LOG
"International Journal of Project 
Management",0263-7863,2,LOG
"International Journal of Public 
Administration",0190-0692,3,PUB SEC
"International Journal of Public 
Sector Management",0951-3558,4,PUB SEC
"International Journal of Quality and 
Reliability Management",0265-671X,3,LOG
"International Journal of Research in 
Marketing",0167-8116,1,MKG
"International Journal of Retail 
and Distribution Management",0959-0552,3,MKG / LOG
"International Journal of Selection 
and Assessment",0965-075X,4,HRM
"International Journal of Technology 
Assessment in Health Care",0266-4623,4,HLTH
"International Journal of Technology 
Management",0267-5730,3,"INNOV / 
LOG"
"International Journal of Theoretical 
and Applied Finance",0219-0249,3,FIN
"International Journal of Transport 
Economics",0303-5247,4,LOG
International Labour Review,0020-7780,3,HRM
International Marketing Review,0265-1335,2,MKG
"International Public Management 
Journal",1096-7494,4,PUB SEC
"International Review of 
Administrative Sciences",0020-8523,3,PUB SEC
"International Review of Economics 
& Finance",1059-0560,4,FIN
"International Review of Financial 
Analysis",1057-5219,3,FIN
"International Review of Public 
Administration",1229-4659,4,PUB SEC
International Small Business Journal,0266-2426,2,INNOV
"International Studies of Management 
and Organization",0020-8825,3,GEN MAN
"Journal de Gestion et d'Economie 
Médicales",0294-0736,4,HLTH
Journal of Accounting and Economics,0165-4101,1,ACC
"Journal of Accounting and 
Organizational Change",1832-5912,4,ACC
"Journal of Accounting and Public 
Policy",0278-4254,2,ACC
Journal of Accounting Literature,0737-4607,3,ACC
Journal of Accounting Research,0021-8456,1,ACC
"Journal of Accounting, Auditing 
and Finance",0148-558X,3,ACC
Journal of Advertising,0091-3367,2,MKG
Journal of Advertising Research,0021-8499,2,MKG
Journal of Alternative Investments,1520-3255,4,FIN
"Journal of Applied Accounting 
Research",0967-5426,3,ACC
Journal of Applied Psychology,0021-9010,1,APP PSY/SOC
Journal of Applied Social Psychology,0021-9029,3,APP PSY/SOC
Journal of Asset Management,1470-8272,4,FIN
Journal of Banking and Finance,0378-4266,1,FIN
"Journal of Behavioral and 
Experimental Economics (formerly 
Journal of Socio-economics)",2214-8043,3,ORG STUD
Journal of Behavioral Finance,1542-7560,4,FIN
Journal of Brand Management,1350-231X,3,MKG
"Journal of Business & Industrial 
Marketing",0885-8624,3,MKG
Journal of Business and Psychology,0889-3268,3,HRM
Journal of Business Ethics,0167-4544,1,HRM
"Journal of Business Finance and 
Accounting",0306-686X,2,ACC/FIN
Journal of Business Logistics,0735-3766,2,LOG
Journal of Business Research,0148-2963,2,MKG
Journal of Business Strategy,0275-6668,4,STRAT
Journal of Business Venturing,0883-9026,1*,INNOV
"Journal of Business-to-Business 
Marketing",1051-712X,4,MKG
Journal of Career Assessment,1069-0727,3,HRM
Journal of Change Management,1469-7017,4,STRAT
Journal of Cleaner Production,0959-6526,3,LOG
"Journal of Computer-Mediated 
Communication",1083-6101,2,MIS
Journal of Consumer Affairs,0022-0078,3,MKG
Journal of Consumer Marketing,0736-3761,4,MKG
Journal of Consumer Psychology,1057-7408,1,MKG
Journal of Consumer Research,0093-5301,1,MKG
Journal of Corporate Finance,0929-1199,2,FIN
Journal of Decision Systems,1246-0125,4,MIS
Journal of Derivatives,1074-1240,3,FIN
"Journal of Economics and 
Management Strategy",1058-6407,2,STRAT
Journal of Emerging Market Finance,0972-6527,4,FIN
Journal of Empirical Finance,0927-5398,2,FIN
"Journal of Engineering and 
Technology Management",0923-4748,3,INNOV
"Journal of Enterprise Information 
Management",1741-0398,3,MIS
Journal of Enterprising Culture,0218-4958,4,INNOV
Journal of Family Business Strategy,1877-8585,3,INNOV
Journal of Finance,0022-1082,1*,FIN
"Journal of Financial and 
Quantitative Analysis",0022-1090,1,FIN
Journal of Financial Economics,0304-405X,1,FIN
Journal of Financial Intermediation,1042-9573,2,FIN
Journal of Financial Markets,1386-4181,2,FIN
Journal of Financial Research,0270-2592,3,FIN
"Journal of Financial Services 
Research",0920-8550,3,FIN
Journal of Financial Stability,1572-3089,3,FIN
Journal of Fixed Income,1059-8596,3,FIN
Journal of Futures Markets,0270-7314,3,FIN
Journal of General Management,0306-3070,4,GEN MAN
"Journal of Global Information 
Management",1062-7375,3,MIS
"Journal of Health Politics, Policy 
and Law",0361-6878,4,HLTH
"Journal of Health Services Research 
and Policy",1355-8196,4,HLTH
"Journal of High Technology 
Management Research",1047-8310,4,INNOV
Journal of Human Resources,0022-166X,2,HRM
Journal of Industrial Relations,0022-1856,4,HRM
Journal of Information Technology,0268-3962,1,MIS
Journal of Interactive Marketing,1094-9968,2,MKG
"Journal of International Accounting 
Research",1542-6297,3,ACC
"Journal of International Business 
Studies",0047-2506,1,STRAT
"Journal of International 
Entrepreneurship",1570-7385,4,INNOV
"Journal of International Financial 
Markets, Institutions & Money",1042-4431,3,FIN
Journal of International Management,1075-4253,3,STRAT
Journal of International Marketing,1069-031X,2,MKG
"Journal of International Money and 
Finance",0261-5606,2,FIN
Journal of Knowledge Management,1367-3270,3,ORG STUD
Journal of Labor Research,0195-3613,4,HRM
Journal of Macromarketing,0276-1467,3,MKG
Journal of Management,0149-2063,1,GEN MAN
"Journal of Management Accounting 
Research",1049-2127,3,ACC
"Journal of Management and 
Governance",1385-3457,4,ACC/FIN
Journal of Management Development,0262-1711,4,HRM
"Journal of Management Information 
Systems",0742-1222,1,MIS
Journal of Management Inquiry,1056-4926,2,GEN MAN
Journal of Management Studies,0022-2380,1,GEN MAN
Journal of Managerial Psychology,0268-3946,3,HRM
Journal of Manufacturing Systems,0278-6125,3,LOG
Journal of Marketing,0022-2429,1*,MKG
Journal of Marketing Education,0273-4753,4,MKG
Journal of Marketing Management,0267-257X,3,MKG
Journal of Marketing Research,0022-2437,1,MKG
"Journal of Marketing Theory 
and Practice",1069-6679,4,MKG
Journal of Marketing Trends,2114-8910,4,MKG
"Journal of Multinational Financial 
Management",1042-444X,4,FIN
Journal of Nursing Management,0966-0429,4,HLTH
"Journal of Occupational and 
Organizational Psychology",0963-1798,2,HRM
"Journal of Occupational Health 
Psychology",1076-8998,3,HRM
Journal of Operations Management,0272-6963,1,LOG
"Journal of Organizational and End 
User Computing",1546-2234,4,MIS
Journal of Organizational Behavior,0894-3796,1,ORG STUD
"Journal of Organizational Behavior 
Management",0160-8061,4,ORG STUD
"Journal of Organizational Change 
Management",0953-4814,3,ORG STUD
"Journal of Pension Economics 
and Finance",1474-7472,4,FIN
"Journal of Personal Selling 
and Sales Management",0885-3134,3,MKG
Journal of Portfolio Management,0095-4918,3,FIN
"Journal of Product and Brand 
Management",1061-0421,3,MKG
"Journal of Product Innovation 
Management",0737-6782,1,INNOV
"Journal of Public Administration 
Research and Theory",1053-1858,2,PUB SEC
"Journal of Public Policy and 
Marketing",0743-9156,2,MKG
"Journal of Purchasing and Supply 
Management",1478-4092,3,LOG
Journal of Quality Technology,0022-4065,3,LOG
"Journal of Real Estate Finance 
and Economics",0895-5638,3,FIN
Journal of Retailing,0022-4359,1,MKG
"Journal of Retailing and 
Consumer Services",0969-6989,3,MKG
Journal of Risk and Insurance,0022-4367,2,FIN
Journal of Risk and Uncertainty,0895-5646,2,FIN
Journal of Service Management,1757-5818,3,GEN MAN
Journal of Service Research,1094-6705,1,MKG
Journal of Services Marketing,0887-6045,3,MKG
"Journal of Small Business & 
Entrepreneurship",0827-6331,4,INNOV
"Journal of Small Business and 
Enterprise Development",1462-6004,4,INNOV
"Journal of Small Business 
Management",0047-2778,2,INNOV
"Journal of Strategic Information 
Systems",0963-8687,2,MIS
Journal of Strategic Marketing,0965-254X,4,MKG
Journal of Supply Chain Management,1523-2409,2,LOG
Journal of Sustainable Tourism,0966-9582,3,TOUR
Journal of Technology Transfer,0892-9912,3,INNOV
"Journal of the Academy of Marketing 
Science",0092-0703,1,MKG
"Journal of the Association for 
Information Systems",1536-9323,2,MIS
"Journal of the Operational Research 
Society",0160-5682,2,LOG
"Journal of Travel & Tourism 
Marketing",1054-8408,3,MKG / TOUR
Journal of Travel Research,0047-2875,2,TOUR
Journal of Vocational Behavior,0001-8791,2,HRM
Journal of World Business,1090-9516,2,STRAT
Knowledge and Process Management,1099-1441,4,ORG STUD
"Knowledge Management Research 
& Practice",1477-8238,3,MIS
La Revue des Sciences de Gestion,1160-7742,4,GEN MAN
Labor History,0023-656X,4,BUS HIST
Leadership,1742-7150,4,ORG STUD
"Leadership & Organization 
Development Journal",0143-7739,4,ORG STUD
Leadership Quarterly,1048-9843,1,HRM
Local Economy,0269-0942,4,GEN MAN
Local Government Studies,0300-3930,3,PUB SEC
Logistique & Management,1250-7970,3,LOG
Long Range Planning,0024-6301,2,STRAT
M@n@gement,1286-4892,2,GEN MAN
Management & Avenir,1768-5958,3,GEN MAN
Management Accounting Research,1044-5005,1,ACC
"Management and Organization 
Review",1740-8776,3,ORG STUD
"Management and Organizational 
History",1744-9359,4,BUS HIST
"Management Communication 
Quarterly",0893-3189,3,ORG STUD
Management Decision,0025-1747,3,GEN MAN
Management et Sciences Sociales,1952-3262,4,GEN MAN
Management International,1206-1697,2,STRAT
Management International Review,0938-8249,3,STRAT
Management Learning,1350-5076,2,GEN MAN
Management Science,0025-1909,1*,"GEN MAN/
LOG"
Managerial Auditing Journal,0268-6902,3,ACC
Managerial Finance,0307-4358,4,FIN
"Manufacturing and Service 
Operations Management",1523-4614,1,LOG
Marketing Letters,0923-0645,2,MKG
Marketing Science,0732-2399,1,MKG
Marketing Theory,1470-5931,3,MKG
Mathematical Finance,0960-1627,2,FIN
Medical Care,0025-7079,2,HLTH
Medical Care Research and Review,1077-5587,3,HLTH
Medical Decision Making,0272-989X,3,HLTH
MIS Quarterly,0276-7783,1*,MIS
"MIS Quarterly Executive: a research 
journal dedicated to improving prac-
tice",1540-1960,3,MIS
MIT Sloan Management Review,1532-9194,2,GEN MAN
Multinational Business Review,1525-383X,4,STRAT
North American Actuarial Journal,1092-0277,3,FIN
Operations Research,0030-364X,1,LOG
Organization,1350-5084,2,ORG STUD
Organization and Environment,1086-0266,3,ORG STUD
Organization Science,1047-7039,1,ORG STUD
Organization Studies,0170-8406,1,ORG STUD
"Organizational Behavior and 
Human Decision Processes",0749-5978,1,HRM
Organizational Dynamics,0090-2616,2,ORG STUD
Organizational Psychology Review,2041-3866,4,ORG STUD
Organizational Research Methods,1094-4281,1,ORG STUD
Pacific Basin Finance Journal,0927-538X,3,FIN
Personnel Psychology,0031-5826,1,HRM
Personnel Review,0048-3486,3,HRM
Policy and Politics,0305-5736,3,PUB SEC
Politiques et Management Public,0758-1726,4,PUB SEC
"Production and Inventory 
Management Journal",0897-8336,4,LOG
"Production and Operations 
Management",1059-1478,1,LOG
Production Planning and Control,0953-7287,2,LOG
Psychology and Marketing,0742-6046,2,MKG
"Public Administration and 
Development",0271-2075,3,PUB SEC
Public Administration Review,0033-3352,1,PUB SEC
"Public Administration: 
An International Quarterly",0033-3298,3,PUB SEC
Public Health,0033-3506,4,HLTH
Public Management Review,1471-9037,3,PUB SEC
Public Money and Management,0954-0962,3,PUB SEC
Public Organization Review,1566-7170,4,PUB SEC
Qualitative Market Research,1352-2752,4,MKG
Qualitative Research,1468-7941,4,RES METH
Quality of Life Research,0962-9343,3,HLTH
Quantitative Finance,1469-7688,3,FIN
"Quantitative Marketing and 
Economics",1570-7156,2,MKG
Question(s) de Management,2262-7030,4,GEN MAN
R&D Management,0033-6807,2,INNOV
Real Estate Economics,1080-8620,3,FIN
"Recherche et Applications en 
Marketing",0767-3701,2,MKG
"Recherche et Cas en Sciences de 
Gestion",2117-802X,4,GEN MAN
"Recherches en Sciences de Gestion - 
Management Sciences - 
Ciencias de Gestión",1634-7056,3,GEN MAN
"Relations Industrielles / 
Industrial Relations",0034-379X,3,HRM
Resaddersse International,2103-8651,4,GEN MAN
"Research in International Business 
and Finance",0275-5319,4,FIN
Research in Organizational Behavior,0191-3085,2,ORG STUD
Research Policy,0048-7333,1,INNOV
Réseaux,0751-7971,4,MIS
Review of Accounting and Finance,1475-7702,4,ACC
Review of Accounting Studies,1380-6653,1,ACC
Review of Asset Pricing Studies,2045-9920,4,FIN
Review of Corporate Finance Studies,2046-9128,3,FIN
Review of Derivatives Research,1380-6645,3,FIN
"Review of Finance 
(ex European Finance Review)",1572-3097,1,FIN
Review of Financial Economics,1058-3300,4,FIN
Review of Financial Studies,0893-9454,1,FIN
Review of Industrial Organization,0889-938X,3,GEN MAN
"Review of Public Personnel 
Administration",0734-371X,4,HRM
"Review of Quantitative Finance 
and Accounting",0924-865X,3,FIN
Revue d'Economie Financière,1777-5744,4,FIN
"Revue de Gestion des Ressources 
Humaines",1163-913X,2,HRM
Revue de l'Entrepreneuriat,1630-7542,2,INNOV
"Revue de l'Organisation Responsable 
(ROR)",1951-0187,4,GEN MAN
Revue Française de Gestion,0338-4551,2,GEN MAN
"Revue Française de Gouvernance 
d'Entreprise",1962-2961,4,GEN MAN
"Revue Interdisciplinaire sur le 
Management, Homme & Entreprise 
(RIMHE)",2259-2490,3,GEN MAN
"Revue Internationale de Psychosociologie 
et de Gestion des Comportements 
Organisationnels (RIPCO)",1260-1705,4,HRM
Revue Internationale PME (RIPME),0776-5436,3,INNOV
Scandinavian Journal of Management,0956-5221,3,GEN MAN
Small Business Economics,0921-898X,2,INNOV
Social Science and Medicine,0277-9536,2,HLTH
Society and Business Review,1746-5680,4,STRAT
Sociological Methods & Research,0049-1241,3,RES METH
Strategic Entrepreneurship Journal,1932-4391,1,INNOV
Strategic Management Journal,0143-2095,1*,STRAT
Strategic Organization,1476-1270,2,STRAT
"Supply Chain Forum: 
An International Journal",1625-8312,3,LOG
"Supply Chain Management: 
An International Journal",1359-8546,2,LOG
"Sustainability Accounting, 
Management and Policy Journal",2040-8021,3,ACC
"Systèmes Agroalimentaires / 
Food systems (ex Economies et 
Sociétés - Série AG (Systèmes 
Agroalimentaires)",0013-0567,4,GEN MAN
"Systèmes d'Information et 
Management",1260-4984,2,MIS
"Technological Forecasting and 
Social Change",0040-1625,2,INNOV
"Technology Analysis and Strategic 
Management",0953-7325,3,STRAT
Technovation,0166-4972,2,INNOV
The Accounting Review,0001-4826,1*,ACC
The European Journal of Finance,1351-847X,3,FIN
"The Geneva Risk and Insurance 
Review",1554-964X,3,FIN
"The International Journal of 
Accounting",0020-7063,3,ACC
"The International Journal of 
Logistics Management",1094-4060,3,LOG
"The Journal of Applied Behavioral 
Science",0021-8863,3,ORG STUD
The Journal of Entrepreneurship,0971-3557,4,INNOV
The Learning Organization,0969-6474,4,ORG STUD
The Milbank Quarterly,0887-378X,2,HLTH
"The Quarterly Review of Economics 
and Finance",1062-9769,4,FIN
"Thunderbird International Business 
Review",1096-4762,4,STRAT
Tourism Management,0261-5177,1,TOUR
"Transportation Research Part E: 
Logistics and Transportation Review",1366-5545,2,LOG
"Venture Capital: An International 
Journal of Entrepreneurial Finance",1369-1066,4,FIN
Voluntas,0957-8765,4,GEN MAN
Work and Occupations,0730-8884,3,HRM
Work and Stress,0267-8373,3,HRM
"Work, Employment and Society",0950-0170,2,HRM
