nom,issn,domaine,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022
Accounting History,1032-3732,CPT/HPM,4,,,,
Accounting History Review,2155-2851,"BUS HIST/
ACC",,,,3,
"Accounting History Review 
(ex : Accounting, Business and 
Financial History)",2155-2851,"BUS HIST /
ACC",,3,,,
"Accounting History Review 
(ex Accounting, Business and 
Financial History)",2155-2851,"ACC / BUS 
HIST",,,3,,
"Accounting History Review (ex : Accounting, 
Business and Financial History)",2155-2851,HPM & CPT,3,,,,
Accounting Horizons,0888-7993,ACC,,2,2,2,
Accounting Horizons,0888-7993,CPT,3,,,,
Accounting Review,0001-4826,ACC,,1*,,,
Accounting Review,0001-4826,CPT,1*,,,,
Accounting and Business Research,0001-4788,ACC,,3,3,3,
Accounting and Business Research,0001-4788,CPT,3,,,,
Accounting and Finance,0810-5391,ACC,,3,3,3,
Accounting and Finance,0810-5391,CPT,4,,,,
Accounting in Europe,1744-9480,ACC,,4,4,4,
"Accounting, Auditing & Accountability 
Journal",0951-3574,ACC,,,3,2,
"Accounting, Organization 
and Society",0361-3682,ACC,,1,,,
"Accounting, Organization and Society",0361-3682,ACC,,,1,1,
"Accounting, Organization and Society",0361-3682,CPT,1,,,,
Action Research,1476-7503,GEN MAN,,,4,,
Administration and Society,0095-3997,PUB SEC,,2,3,3,
Administration and Society,0095-3997,Publique,2,,,,
Administrative Science Quarterly,0001-8392,ORG STUD,,1*,1*,1*,
Administrative Science Quarterly,0001-8392,THO,1*,,,,
Advances in Accounting,0882-6110,ACC,,,,3,
Advances in International Accounting,0897-3660,ACC,,3,3,,
Advances in International Accounting,0897-3660,CPT,3,,,,
Advances in Strategic Management,0742-3322,STRAT,,3,3,3,
Advances in Strategic Management,0742-3322,Strat,2,,,,
American Journal of Managed Care,1088-0224,HLTH,,2,3,4,
American Journal of Medical Quality,1062-8606,HLTH,,3,3,4,
American Journal of Medical Quality,1062-8606,Santé,3,,,,
"American Review of Public
Administration",0275-0740,PUB SEC,,4,,,
"American Review of Public 
Administration",0275-0740,PUB SEC,,,4,3,
Annals of Finance,1614-2446,FIN,,4,4,4,
Annals of Finance,1614-2446,Fin,4,,,,
Annals of Operations Research,0254-5330,LOG,,,,2,
"Annals of Public and Cooperative 
Economics",1467-8292,PUB SEC,,4,4,4,
Annals of Tourism Research,0160-7383,GEN MAN,,,2,,
Annals of Tourism Research,0160-7383,TOUR,,,,2,
"Annual Review of Organizational 
Psychology and Organizational Behavior",2327-0608,ORG STUD,,,,4,
Applied Financial Economics,0960-3107,FIN,,4,4,4,
Applied Financial Economics,0960-3107,Fin,4,,,,
Applied Health Economics and Policy,1175-5652,Santé,4,,,,
Applied Mathematical Finance,1350-486X,FIN,,4,4,4,
"Applied Psychology: An International 
Review",0269-994X,APP PSY/SOC,,,,3,
Asia Pacific Business Review,1360-2381,STRAT,,3,3,4,
Asia Pacific Business Review,1360-2381,Strat,3,,,,
"Asia Pacific Journal of 
Human Resources",1038-4111,HRM,,4,,,
"Asia Pacific Journal of Human 
Resources",1038-4111,HRM,,,,4,
Asia Pacific Journal of Human Resources,1038-4111,GRH,4,,,,
Asia Pacific Journal of Human Resources,1038-4111,HRM,,,4,,
Asia Pacific Journal of Management,0217-4561,GEN MAN,,3,3,3,
Asia Pacific Journal of Management,0217-4561,MgtGen,4,,,,
"Auditing, A Journal of Practice 
and Theory",0278-0380,ACC,,2,,,
"Auditing, A Journal of Practice and 
Theory",0278-0380,ACC,,,2,2,
"Auditing, A Journal of Practice and Theory",0278-0380,CPT,2,,,,
BALTIC JOURNAL OF MANAGEMENT,1746-5265,GEN MAN,,,,,4
