nom de la revue,issn,rang,domaine
Information Technology and People,0959-3845,3,SI
"Insurance, Mathematics & Economics",0167-6687,3,Fin
International Business Review,0969-5931,3,Strat
"International Entrepreneurship and 
Management Journal",1554-7191,4,Innov
"International Entrepreneurship Journal and Small 
Business",1476-1297,4,Innov
International Journal of Accounting,0020-7063,3,CPT
International Journal of Advertising,0265-0487,3,Mkg
International Journal of Arts Management,1480-8986,4,MgtGen
International Journal of Auditing,1090-6738,3,CPT
International Journal of Bank Marketing,0265-2323,4,Mkg
"International Journal of Cross Cultural 
Management",1470-5958,4,Strat
International Journal of Electronic Commerce,1086-4415,2,SI
"International Journal of Entrepreneurial 
Behaviour and Research",1355-2554,4,Innov
"International Journal of Entrepreneurship and 
Innovation",1465-7503,4,Innov
"International Journal of Entrepreneurship and 
Innovation Management (IJEIM)",1368-275X,4,Innov
International Journal of Flexible Manufacturing,0920-6299,2,Log
"International Journal of Health Care, Finance and 
Economics",1389-6563,2,Santé
"International Journal of Health Planning and 
Management",0294-0736,4,Santé
"International Journal of Human Computer 
Studies",1071-5819,3,SI
"International Journal of Human Resource 
Management",0958-5192,3,GRH
"International Journal of Information 
Management",0268-4012,3,SI
International Journal of Innovation Management,1363-9196,4,Innov
"International Journal of Knowledge, Culture and 
Change Management",1447-9524,4,MgtGen
International Journal of Logistics Management,0957-4903,3,Log
"International Journal of Logistics: Research and 
Applications",1367-5567,3,Log
International Journal of Management Reviews,1460-8545,2,MgtGen
"International Journal of Manufacturing 
Technology and Management",1368-2148,3,Log
International Journal of Market Research,1470-7853,3,Mkg
"International Journal of Operations and 
Production Management",0144-3577,2,Log
"International Journal of Physical Distribution and 
Logistics Management",0960-0035,3,Log
International Journal of Production Economics,0925-5273,1,Log
International Journal of Production Research,0020-7543,2,Log
International Journal of Project Management,0263-7863,3,Log
International Journal of Public Administration,0190-0692,3,Publique
"International Journal of Public Sector 
Management",0951-3558,3,Publique
"International Journal of Quality and Reliability 
Management",0265-671X,3,Log
International Journal of Quality in Health Care,1353-4505,4,Santé
International Journal of Research in Marketing,0167-8116,1,Mkg
"International Journal of Retail and Distribution 
Management",0959-0552,3,Mkg / Log
"International Journal of Technology and Human 
Interaction",1548-3908,4,SI
"International Journal of Technology 
Management",0267-5730,3,Innov / Log
"International Journal of Theoretical and Applied 
Finance",0219-0249,3,Fin
International Labour Review,0020-7780,3,GRH
International Marketing Review,0265-1335,3,Mkg
International Review of Administrative Sciences,0020-8523,3,Publique
International Review of Financial Analysis,1057-5219,3,Fin
International Review of Public Administration,1229-4659,4,Publique
International Small Business Journal,0266-2426,2,Innov
"International Studies of Management and 
Organization",0020-8825,3,MgtGen
Journal d'Economie Médicale,0294-0736,4,Santé
Journal Européen des Systèmes Automatisés,1269-6935,3,Log
Journal of Accounting and Economics,0165-4101,1,CPT
Journal of Accounting and Public Policy,0278-4254,2,CPT
Journal of Accounting Auditing and Finance,0148-558X,3,CPT
Journal of Accounting Literature,0737-4607,3,CPT
Journal of Accounting Research,0021-8456,1,CPT
Journal of Advertising,0091-3367,2,Mkg
Journal of Advertising Research,0021-8499,3,Mkg
Journal of Applied Accounting Research,0967-5426,3,CPT
Journal of Applied Behavioral Science,0021-8863,3,THO
Journal of Applied Business Research,0892-7626,3,MgtGen
"Journal of Arts Management, Law and Society",1063-2921,4,MgtGen
Journal of Asset Management,1470-8272,4,Fin
