issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
0890-8389,British Accounting Review; BRITISH ACCOUNTING REVIEW,British Accounting Review,3,3,3,3,3,2
0007-1080,British Journal of Industrial Relations; BRITISH JOURNAL OF INDUSTRIAL RELATIONS,British Journal of Industrial Relations,2,2,2,2,2,1
1045-3172,British Journal of Management; BRITISH JOURNAL OF MANAGEMENT,British Journal of Management,2,2,2,2,1,2
1779-7160,Bulletin Français d'Actuariat,Bulletin Français d'Actuariat,4,4,4,4,,
0042-9686,"Bulletin of the World Health Organization; Bulletin of the World 
Health Organization; Bulletin of the World Health 
Organization; BULLETIN OF THE WORLD HEALTH ORGANIZATION",Bulletin of the World Health Organization,3,3,3,3,4,4
1052-150X,"Business Ethics Quarterly; BUSINESS ETHICS QUARTERLY Business Ethics, the Environment and Responsibility",Business Ethics Quarterly,4,2,2,2,2,2
1467-8594,Business Ethics: a European review; Business Ethics: A European Review; BUSINESS ETHICS: A EUROPEAN REVIEW,Business Ethics: A European Review,4,4,4,3,3,
0007-6791,Business History; BUSINESS HISTORY,Business History,2,2,2,2,2,2
0007-6805,Business History Review; BUSINESS HISTORY REVIEW,Business History Review,3,3,3,3,3,2
0007-6813,Business Horizons; BUSINESS HORIZONS,Business Horizons,,,,3,3,3
1463-7154,"Business Process Management Journal; Business Process Management 
Journal; BUSINESS PROCESS MANAGEMENT JOURNAL",Business Process Management Journal,3,3,3,3,4,3
0964-4733,"Business Strategy and the Environment; Business Strategy and 
the Environment; Business Strategy and the 
Environment; BUSINESS STRATEGY AND THE ENVIRONMENT",Business Strategy and the Environment,4,3,3,3,3,3
1867-0202,"Business and Information Systems Engineering 
(wirtschaftsinformatik); Business and Information Systems 
Engineering (wirtschaftsinformatik); Business and Information Systems 
Engineering (Wirtschaftsinformatik); Business and Information Systems 
Engineering; BUSINESS AND INFORMATION SYSTEMS ENGINEERING (BISE) (Formerly: Wirtschaftsinformatik (WI))",Business and Information Systems Engineering,4,4,4,3,4,3
0007-6503,Business and Society; BUSINESS AND SOCIETY,Business and Society,4,4,3,2,2,2
1150-8809,Cahiers Scientifiques du Transport,Cahiers Scientifiques du Transport,,4,4,4,,
0008-1256,California Management Review; CALIFORNIA MANAGEMENT REVIEW,California Management Review,,,2,2,2,2
