journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
information technology and people,0959-3845,si,3,mis,3,mis,3,mis,3,mis,3
innovation organization  management formerly innovation management policy and practice,1447-9338,,,,,,,,,innov,4
"innovations  revue deconomie et 
de management de linnovation
journal of innovation economics and 
management",1267-4982,,,,,innov,4,,,,
"innovations  revue deconomie et 
de management de linnovation 
journal of innovation economics and 
management",1267-4982,,,,,,,innov,3,,
"innovations  revue déconomie et 
de management de linnovation 
journal of innovation economics 
and management","1267-4982 
2032-5355",,,innov,4,,,,,,
innovations revue déconomie et de management de linnovation  journal of innovation economics and,1267-4982,,,,,,,,,innov,2
insurance mathematics  economics,0167-6687,fin,3,fin,3,,,,,,
"insurance mathematics and 
economics",0167-6687,,,,,,,fin,3,,
insurance mathematics and economics,0167-6687,,,,,fin,2,,,fin,3
interfaces,0092-2102,,,,,,,,,gen/man,3
international business review,0969-5931,strat,3,strat,2,strat,2,strat,2,strat,2
international economic review,0020-6598,,,,,,,,,econ,1
international economics,2110-7017,,,,,,,,,econ,4
"international entrepreneurship and 
management journal",1554-7191,innov,4,innov,4,innov,4,innov,3,,
international entrepreneurship and management journal,1554-7191,,,,,,,,,innov,4
"international entrepreneurship journal and small 
business",1476-1297,innov,4,,,,,,,,
"international journal for quality 
in health care",1353-4505,,,,,,,hlth,4,,
"international journal for quality in 
health care",1353- 4505,,,,,hlth,4,,,,
international journal for quality in health care,1353- 4505,,,,,,,,,hlth,4
"international journal of 
entrepreneurial behaviour 
and research",1355-2554,,,innov,4,,,,,,
"international journal of 
entrepreneurship and 
innovation management",1368-275X,,,,,,,innov,4,,
"international journal of 
entrepreneurship and innovation",1465-7503,,,innov,4,innov,4,innov,4,,
"international journal of 
entrepreneurship and innovation 
management ijeim",1368-275X,,,innov,4,,,,,,
"international journal of 
entrepreneurship and small business",1476-1297,,,innov,4,innov,4,innov,4,,
"international journal of 
manufacturing technology 
and management",1368-2148,,,log,3,,,,,,
international journal of accounting,0020-7063,cpt,3,,,,,,,,
international journal of accounting information systems,1467-0895,,,,,,,,,acc,4
international journal of advertising,0265-0487,mkg,3,mkg,3,mkg,3,mkg,3,mkg,3
"international journal of arts 
management",1480-8986,,,gen/man,4,,,gen/man,4,,
international journal of arts management,1480-8986,mgtgen,4,,,gen/man,4,,,gen/man,4
international journal of auditing,1090-6738,cpt,3,acc,3,acc,3,acc,3,acc,3
"international journal of bank 
marketing",0265-2323,,,mkg,4,,,mkg,4,,
international journal of bank marketing,0265-2323,mkg,4,,,mkg,4,,,mkg,4
international journal of business governance and ethics,1741-802X,,,,,,,,,gen/man,4
international journal of consumer studies,1470-6423,,,,,,,,,mkg,4
international journal of contemporary hospitality management,0959-6119,,,,,,,,,sector,3
"international journal of cross 
cultural management",1470-5958,,,strat,4,strat,4,strat,4,,
"international journal of cross cultural 
management",1470-5958,strat,4,,,,,,,,
international journal of cross cultural management,1470-5958,,,,,,,,,strat,4
"international journal of electronic 
commerce",1086-4415,,,mis,2,mis,2,mis,2,,
international journal of electronic commerce,1086-4415,si,2,,,,,,,mis,2
international journal of energy sector management,1750-6220,,,,,,,,,sector,4
"international journal of entrepreneu
rial behaviour and research",1355-2554,,,,,innov,4,,,,
"international journal of entrepreneur
ship and innovation management",1368-275X,,,,,innov,4,,,,
"international journal of entrepreneurial 
behaviour and research",1355-2554,innov,4,,,,,innov,3,,
international journal of entrepreneurial behaviour and research,1355-2554,,,,,,,,,innov,3
"international journal of entrepreneurship and 
innovation",1465-7503,innov,4,,,,,,,,
"international journal of entrepreneurship and 
innovation management ijeim",1368-275X,innov,4,,,,,,,,
international journal of entrepreneurship and innovation,1465-7503,,,,,,,,,innov,4
international journal of entrepreneurship and innovation management,1368-275X,,,,,,,,,innov,4
international journal of entrepreneurship and small business,1476-1297,,,,,,,,,innov,4
international journal of finance and economics,1076-9307,,,,,,,,,fin,3
"international journal of flexible 
manufacturing systems",0920-6299,,,log,3,,,,,,
international journal of flexible manufacturing,0920-6299,log,2,,,,,,,,
international journal of forecasting,0169-2070,,,,,log/strat,3,log/strat,3,econ,3
international journal of gender and entrepreneurship,1756-6266,,,,,,,,,hrm,4
"international journal of health 
economics and management",1389-6563,,,,,hlth,4,,,,
"international journal of health 
economics and management",2199-9023,,,,,,,hlth,4,,
"international journal of health 
planning and management",0749-6753,,,hlth,4,hlth,4,hlth,4,,
"international journal of health care 
finance and economics",1389-6563,,,hlth,4,,,,,,
"international journal of health care finance and 
economics",1389-6563,sant,2,,,,,,,,
international journal of health economics and management,2199-9023,,,,,,,,,hlth,4
"international journal of health planning and 
management",0294-0736,sant,4,,,,,,,,
international journal of health planning and management,0749-6753,,,,,,,,,hlth,4
international journal of heritage studies,1352-7258,,,,,,,,,sector,4
"international journal of hospitality 
management",0278-4319,,,,,,,tour,3,,
international journal of hospitality management,0278-4319,,,,,,,,,sector,3
"international journal of human 
computer studies",1071-5819,,,mis,3,mis,3,mis,3,,
"international journal of human 
resource management",0958-5192,,,hrm,3,hrm,3,hrm,2,,
"international journal of human computer 
studies",1071-5819,si,3,,,,,,,,
international journal of human computer studies,1071-5819,,,,,,,,,mis,4
"international journal of human resource 
management",0958-5192,grh,3,,,,,,,,
international journal of human resource management,0958-5192,,,,,,,,,hrm,2
"international journal of information 
management",0268-4012,si,3,mis,3,mis,3,mis,2,,
international journal of information management,0268-4012,,,,,,,,,mis,3
"international journal of innovation 
management",1363-9196,,,innov,4,innov,4,innov,4,,
international journal of innovation management,1363-9196,innov,4,,,,,,,innov,4
international journal of intercultural relations,0147-1767,,,,,,,,,psy,4
"international journal of knowledge 
culture and change management",1447-9524,,,gen/man,4,gen/man,4,,,,
"international journal of knowledge 
management studies",1743-8268,,,,,org/stud,4,,,,
"international journal of knowledge culture and 
change management",1447-9524,mgtgen,4,,,,,,,,
international journal of knowledge culture and change management,1447-9524,,,,,,,,,gen/man,4
"international journal of logistics 
management",0957-4093,,,log,3,,,,,,
"international journal of logistics 
research and applications",1367-5567,,,log,3,log,3,log,3,,
international journal of logistics management,0957-4903,log,3,,,,,,,,
"international journal of logistics research and 
applications",1367-5567,log,3,,,,,,,,
international journal of logistics research and applications,1367-5567,,,,,,,,,log,3
"international journal of management 
reviews",1460-8545,,,gen/man,2,gen/man,2,gen/man,2,,
international journal of management and decision making,1462-4621,,,,,,,,,gen/man,4
international journal of management reviews,1460-8545,mgtgen,2,,,,,,,gen/man,2
international journal of managing projects in business,1753-8378,,,,,,,,,gen/man,4
international journal of manpower,0143-7720,,,,,,,hrm,4,hrm,3
"international journal of manufactu
ring technology and management",1368-2148,,,,,log,3,,,,
"international journal of manufacturing 
technology and management",1368-2148,log,3,,,,,log,4,,
international journal of manufacturing technology and management,1368-2148,,,,,,,,,log,4
"international journal of market 
research",1470-7853,,,,,,,mkg,3,,
international journal of market research,1470-7853,mkg,3,mkg,3,mkg,3,,,mkg,3
"international journal of operations 
and production management",0144-3577,,,log,2,log,2,log,2,,
"international journal of operations and 
production management",0144-3577,log,2,,,,,,,,
international journal of operations and production management,0144-3577,,,,,,,,,log,1
"international journal of physical 
distribution and logistics 
management",0960-0035,,,log,3,,,,,,
"international journal of physical 
distribution and logistics management",0960-0035,,,,,,,log,2,,
"international journal of physical dis
tribution and logistics management",0960-0035,,,,,log,2,,,,
"international journal of physical distribution and 
logistics management",0960-0035,log,3,,,,,,,,
international journal of physical distribution and logistics management,0960-0035,,,,,,,,,log,2
"international journal of production 
economics",0925-5273,,,log,1,log,1,log,1,,
"international journal of production 
research",0020-7543,,,log,2,log,2,log,2,,
international journal of production economics,0925-5273,log,1,,,,,,,log,1
international journal of production research,0020-7543,log,2,,,,,,,log,2
"international journal of project 
management",0263-7863,,,log,3,log,2,log,2,,
international journal of project management,0263-7863,log,3,,,,,,,log,2
"international journal of public 
administration",0190-0692,,,pub/sec,3,pub/sec,3,pub/sec,3,,
"international journal of public 
sector management",0951-3558,,,,,,,pub/sec,4,,
international journal of public administration,0190-0692,publique,3,,,,,,,pub/sec,3
"international journal of public sector 
management",0951-3558,publique,3,pub/sec,3,pub/sec,3,,,,
international journal of public sector management,0951-3558,,,,,,,,,pub/sec,4
"international journal of quality and 
reliability management",0265-671X,,,log,3,log,3,log,3,,
"international journal of quality and reliability 
management",0265-671X,log,3,,,,,,,,
international journal of quality and reliability management,0265-671X,,,,,,,,,log,3
"international journal of quality in 
health care",1353-4505,,,hlth,3,,,,,,
international journal of quality in health care,1353-4505,sant,4,,,,,,,,
"international journal of research in 
marketing",0167-8116,,,mkg,1,mkg,1,mkg,1,,
international journal of research in marketing,0167-8116,mkg,1,,,,,,,mkg,1
"international journal of retail 
and distribution management",0959-0552,,,,,,,mkg/log,3,,
"international journal of retail and 
distribution management",0959-0552,,,mkg/log,3,mkg/log,3,,,,
"international journal of retail and distribution 
management",0959-0552,mkg/log,3,,,,,,,,
international journal of retail and distribution management,0959-0552,,,,,,,,,mkg,3
"international journal of selection 
and assessment",0965-075X,,,,,,,hrm,4,,
"international journal of selection and 
assessment",0965-075X,,,hrm,3,hrm,3,,,,
international journal of selection and assessment,0965-075X,,,,,,,,,hrm,4
international journal of stress management,1072-5245,,,,,,,,,hrm,4
international journal of stress management,1573-3424,,,,,,,,,psy,4
"international journal of technology 
and human interaction",1548-3908,,,mis,4,mis,4,,,,
"international journal of technology 
assessment in health care",0266-4623,,,,,hlth,4,hlth,4,,
"international journal of technology 
management",0267-5730,innov/log,3,innov/log,3,innov/log,3,innov/log,3,,
"international journal of technology and human 
interaction",1548-3908,si,4,,,,,,,,
international journal of technology assessment in health care,0266-4623,,,,,,,,,hlth,4
international journal of technology management,0267-5730,,,,,,,,,innov,3
"international journal of theoretical 
and applied finance",0219-0249,,,fin,3,fin,3,fin,3,,
"international journal of theoretical and applied 
finance",0219-0249,fin,3,,,,,,,,
international journal of theoretical and applied finance,0219-0249,,,,,,,,,fin,3
international journal of tourism research,1099-2340,,,,,,,,,sector,4
"international journal of transport 
economics",0303-5247,,,,,,,log,4,,
"international journal of transport 
economics",0391-8440,,,,,log,4,,,,
international journal of transport economics,0391-8440,,,,,,,,,log,4
international journal of urban and regional research,0309-1317,,,,,,,,,reg/env,3
international labour review,0020-7780,grh,3,hrm,3,hrm,3,hrm,3,acc,3
international marketing review,0265-1335,mkg,3,mkg,2,mkg,2,mkg,2,mkg,2
"international public management 
journal",1096-7494,,,,,,,pub/sec,4,,
international public management journal,1096-7494,,,,,,,,,pub/sec,4
"international review of 
administrative sciences",0020-8523,,,pub/sec,3,pub/sec,3,pub/sec,3,,
international review of administrative sciences,0020-8523,publique,3,,,,,,,hrm,3
"international review of economics 
 finance",1059-0560,,,,,,,fin,4,,
international review of economics and finance,1059-0560,,,,,,,,,fin,4
"international review of financial 
analysis",1057-5219,,,fin,3,fin,3,fin,3,,
international review of financial analysis,1057-5219,fin,3,,,,,,,fin,3
international review of law and economics,0144-8188,,,,,,,,,econ,3
"international review of public 
administration",1229-4659,,,pub/sec,4,pub/sec,4,pub/sec,4,,
international review of public administration,1229-4659,publique,4,,,,,,,pub/sec,4
international small business journal,0266-2426,innov,2,innov,2,innov,2,innov,2,innov,2
"international studies of management 
and organization",0020-8825,,,gen/man,3,gen/man,3,gen/man,3,,
"international studies of management and 
organization",0020-8825,mgtgen,3,,,,,,,,
international studies of management and organization,0020-8825,,,,,,,,,pub/sec,3
international transactions in operational research,0969-6016,,,,,,,,,gen/man,4
internet research,1066-2243,,,,,,,,,mis,4
"journal de gestion et deconomie 
médicale",0294-0736,,,hlth,4,hlth,4,,,,
"journal de gestion et deconomie 
médicales",0294-0736,,,,,,,hlth,4,,
journal de gestion et déconomie de la sante,2262-5305,,,,,,,,,hlth,4
journal deconomie médicale,0294-0736,sant,4,,,,,,,,
journal européen des systèmes automatisés,1269-6935,log,3,,,,,,,,
"journal of accounting and 
organizational change",1832-5912,,,,,acc,4,acc,4,,
journal of accounting and economics,0165-4101,cpt,1,acc,1,acc,1,acc,1,acc,1*
journal of accounting and organizational change,1832-5912,,,,,,,,,acc,4
"journal of accounting and public 
policy",0278-4254,,,acc,2,acc,2,acc,2,,
journal of accounting and public policy,0278-4254,cpt,2,,,,,,,acc,2
"journal of accounting auditing 
and finance",0148-558X,,,,,,,acc,3,,
"journal of accounting auditing and 
finance",0148-558X,,,acc,3,acc,3,,,,
journal of accounting auditing and finance,0148-558X,cpt,3,,,,,,,acc,3
journal of accounting literature,0737-4607,cpt,3,acc,3,acc,3,acc,3,acc,3
journal of accounting research,0021-8456,cpt,1,acc,1,acc,1,acc,1,acc,1*
journal of advertising,0091-3367,mkg,2,mkg,2,mkg,2,mkg,2,mkg,2
journal of advertising research,0021-8499,mkg,3,mkg,3,mkg,2,mkg,2,mkg,2
journal of alternative investments,1520-3255,,,fin,4,fin,4,fin,4,fin,4
"journal of applied accounting 
research",0967-5426,,,acc,3,,,acc,3,,
journal of applied accounting research,0967-5426,cpt,3,,,acc,3,,,acc,3
journal of applied behavioral science,0021-8863,tho,3,org/stud,3,,,,,,
journal of applied business research,0892-7626,mgtgen,3,gen/man,3,,,,,,
journal of applied econometrics,0883-7252,,,,,,,,,econ,2
journal of applied psychology,0021-9010,,,hrm,1,hrm,1,app/psy/soc,1,psy,1*
journal of applied social psychology,0021-9029,,,,,,,app/psy/soc,3,org/stud,4
"journal of arts management law 
and society",1063-2921,,,gen/man,4,gen/man,4,,,,
journal of arts management law and society,1063-2921,mgtgen,4,,,,,,,,
journal of asset management,1470-8272,fin,4,fin,4,fin,4,fin,4,fin,4
journal of banking and finance,0378-4266,fin,1,fin,1,fin,1,fin,1,fin,1
"journal of behavioral and 
experimental economics formerly 
journal of socioeconomics",2214-8043,,,,,,,org/stud,3,,
journal of behavioral and experimental economics formerly journal of socioeconomics,2214-8043,,,,,,,,,org/stud,3
journal of behavioral decision making,0894-3257,,,,,,,,,psy,2
journal of behavioral finance,1542-7560,,,fin,4,fin,4,fin,4,fin,4
journal of brand management,1350-231X,mkg,4,mkg,4,mkg,4,mkg,3,mkg,3
"journal of business  industrial 
marketing",0885-8624,,,mkg,3,,,mkg,3,,
journal of business  industrial marketing,0885-8624,mkg,3,,,mkg,3,,,mkg,3
journal of business and economic statistics,0735-0015,,,,,,,,,econ,1
journal of business and psychology,0889-3268,,,,,,,hrm,3,hrm,3
journal of business economics and management,1611-1699,,,,,,,,,gen/man,4
journal of business ethics,0167-4544,grh,2,hrm,2,hrm,2,hrm,1,gen/man,1
"journal of business finance and 
accounting",0306-686X,,,acc/fin,2,acc/fin,2,acc/fin,2,,
journal of business finance and accounting,0306-686X,cpt/fin,2,,,,,,,acc,2
journal of business logistics,0735-3766,log,3,log,2,log,2,log,2,log,2
journal of business research,0148-2963,mkg,2,mkg,2,mkg,2,mkg,2,mkg,2
journal of business strategy,0275-6668,strat,3,strat,3,strat,3,strat,4,strat,4
journal of business to business marketing,1051-712X,,,,,,,,,mkg,4
journal of business venturing,0883-9026,innov,1,innov,1,innov,1*,innov,1*,innov,1*
"journal of businesstobusiness 
marketing",1051-712X,,,mkg,4,mkg,4,mkg,4,,
journal of businesstobusiness marketing,1051-712X,mkg,4,,,,,,,,
journal of career assessment,1069-0727,,,,,hrm,3,hrm,3,hrm,3
journal of career development,0894-8453,,,,,,,,,psy,4
journal of change management,1469-7017,strat,4,strat,4,strat,4,strat,4,strat,4
journal of cleaner production,0959- 6526,,,,,log,3,,,,
journal of cleaner production,0959-6526,,,,,,,log,3,log,2
journal of commodity markets,2405-8513,,,,,,,,,fin,4
journal of computational finance,1460-1559,,,,,,,,,fin,4
"journal of computer mediated 
communication",1083-6101,,,mkg,3,,,,,,
journal of computer mediated communication,1083-6101,,,,,,,,,mis,2
"journal of computermediated 
communication",1083-6101,,,,,mkg,2,mis,2,,
journal of conflict resolution,0022-0027,,,,,,,,,psy,3
journal of consumer affairs,0022-0078,,,mkg,4,mkg,3,mkg,3,mkg,3
journal of consumer affairs,1745-6606,mkg,3,,,,,,,,
journal of consumer behaviour,1472-0817,,,,,,,,,mkg,4
journal of consumer marketing,0736-3761,mkg,4,mkg,4,mkg,4,mkg,4,mkg,4
journal of consumer policy,0168-7034,,,,,,,,,soc,4
journal of consumer psychology,1057-7408,mkg,1,mkg,1,mkg,1,mkg,1,mkg,1
journal of consumer research,0093-5301,mkg,1,mkg,1,mkg,1,mkg,1,mkg,1*
journal of corporate finance,0929-1199,,,,,fin,2,fin,2,,
"journal of corporate finance 
contracting governance and 
organization",0929-1199,,,fin,2,,,,,,
"journal of corporate finance contracting 
governance and organization",0929-1199,fin,2,,,,,,,,
journal of corporate finance contracting governance and organization,0929-1199,,,,,,,,,fin,1
journal of credit risk,1744-6619,,,,,,,,,fin,4
journal of cultural economy,1753-0350,,,,,,,,,soc,4
journal of decision systems,1246-0125,si,4,mis,4,mis,4,mis,4,mis,4
journal of derivatives,1074-1240,fin,3,fin,3,fin,3,fin,3,fin,3
journal of development studies,0022-0388,,,,,,,,,soc,3
journal of developmental entrepreneurship,1084-9467,,,,,innov,4,,,,
journal of econometrics,0304-4076,,,,,,,,,econ,1
journal of economic behavior and organization,0167-2681,,,,,,,,,econ,2
journal of economic dynamics and control,0165-1889,,,,,,,,,econ,2
journal of economic geography,1468-2702,,,,,,,,,reg/env,1
journal of economic growth,1381-4338,,,,,,,,,econ,1
journal of economic literature,0022-0515,,,,,,,,,econ,1
journal of economic perspectives,0895-3309,,,,,,,,,econ,1
journal of economic psychology,0167-4870,,,,,,,,,psy,3
journal of economic theory,0022-0531,,,,,,,,,econ,1
"journal of economics and 
management strategy",1058-6407,,,strat,1,strat,2,strat,2,,
journal of economics and management strategy,1058-6407,strat,1,,,,,,,strat,2
journal of electronic commerce research,1526-6133,,,,,,,,,mkg,4
journal of emerging market finance,0972-6527,,,,,fin,4,fin,4,fin,4
journal of empirical finance,0927-5398,fin,3,fin,3,fin,2,fin,2,fin,2
journal of employment counseling,0022-0787,,,,,,,,,psy,4
"journal of engineering and 
technology management",0923-4748,,,innov,3,innov,3,innov,3,,
"journal of engineering and technology 
management",0923-4748,innov,3,,,,,,,,
journal of engineering and technology management,0923-4748,,,,,,,,,innov,3
"journal of enterprise information 
management",1741-0398,,,mis,4,mis,4,mis,3,,
journal of enterprise information management,1741-0398,si,4,,,,,,,mis,4
journal of enterprising culture,0218-4958,innov,4,innov,4,innov,4,innov,4,innov,4
journal of environmental economics and management,0095-0696,,,,,,,,,econ,1
journal of environmental management,0301-4797,,,,,,,,,soc,2
journal of family business strategy,1877-8585,,,,,innov,4,innov,3,innov,3
journal of fashion marketing and management,1361-2026,,,,,,,,,mkg,4
journal of finance,0022-1082,fin,1*,fin,1*,fin,1*,fin,1*,fin,1*
"journal of financial and 
quantitative analysis",0022-1090,,,,,,,fin,1,,
"journal of financial and quantitative 
analysis",0022-1090,,,fin,1,fin,1,,,,
journal of financial and quantitative analysis,0022-1090,fin,1,,,,,,,fin,1
journal of financial econometrics,1479-8409,,,,,,,,,fin,2
journal of financial economics,0304-405X,fin,1,fin,1,fin,1,fin,1,fin,1*
journal of financial intermediation,1042-9573,fin,2,fin,2,fin,2,fin,2,fin,1
journal of financial markets,1386-4181,fin,3,fin,2,fin,2,fin,2,fin,2
journal of financial research,0270-2592,fin,3,fin,3,fin,3,fin,3,fin,3
"journal of financial services 
research",0920-8550,,,fin,3,,,fin,3,,
journal of financial services research,0920-8550,fin,3,,,fin,3,,,fin,3
journal of financial stability,1572-3089,,,,,fin,3,fin,3,fin,3
journal of fixed income,1059-8596,fin,3,fin,3,fin,3,fin,3,fin,3
journal of forecasting,0277-6693,,,,,,,,,econ,3
journal of futures markets,0270-7314,fin,3,fin,3,fin,3,fin,3,fin,3
journal of general management,0306-3070,,,,,,,gen/man,4,gen/man,4
"journal of global information 
management",1062-7375,,,mis,2,,,mis,3,,
journal of global information management,1062-7375,si,2,,,mis,3,,,mis,3
journal of health economics,0167-6296,sant,1,,,,,,,,
"journal of health politics policy 
and law",0361-6878,,,hlth,3,,,hlth,4,,
journal of health politics policy and law,0361-6878,sant,3,,,hlth,4,,,hlth,4
"journal of health services research 
and policy",1355-8196,,,hlth,4,hlth,4,hlth,4,,
journal of health services research and policy,1355-8196,sant,4,,,,,,,hlth,4
"journal of high technology 
management research",1047-8310,,,innov,4,innov,4,innov,4,,
"journal of high technology management 
research",1047-8310,innov,4,,,,,,,,
journal of high technology management research,1047-8310,,,,,,,,,innov,4
journal of historical research in marketing,1755-750X,,,,,,,,,bus/hist,4
journal of hospitality and tourism management,1447-6770,,,,,,,,,sector,4
journal of hospitality and tourism research,1096-3480,,,,,,,,,sector,4
journal of hospitality leisure sport and tourism education,1473-8376,,,,,,,,,sector,4
journal of human resources,0022-166X,,,,,,,hrm,2,hrm,2
journal of industrial economics,0022-1821,,,,,,,,,econ,2
journal of industrial relations,0022-1856,,,,,,,hrm,4,hrm,4
journal of information systems,0888-7985,,,,,,,,,mis,4
journal of information technology,0268-3962,si,3,mis,2,mis,1,mis,1,mis,1
journal of intellectual capital,1469-1930,,,,,,,,,innov,4
journal of interactive marketing,1094-9968,mkg,3,mkg,3,mkg,2,mkg,2,mkg,2
"journal of international 
entrepreneurship",1570-7385,,,innov,3,,,innov,4,,
"journal of international accounting 
research",1542-6297,,,acc,3,acc,3,acc,3,,
journal of international accounting research,1542-6297,cpt,3,,,,,,,acc,3
"journal of international business 
studies",0047-2506,,,strat,1,strat,1,strat,1,,
journal of international business studies,0047-2506,strat,1,,,,,,,strat,1*
journal of international economics,0022-1996,,,,,,,,,econ,1
journal of international entrepreneurship,1570-7385,innov,3,,,innov,3,,,innov,4
"journal of international financial 
markets institutions  money",1042-4431,,,,,,,fin,3,,
journal of international financial markets institutions and money,1042-4431,,,,,,,,,fin,3
journal of international management,1075-4253,strat,3,strat,3,strat,3,strat,3,strat,3
journal of international marketing,1069-031X,mkg,3,mkg,3,mkg,2,mkg,2,mkg,2
"journal of international money and 
finance",0261-5606,,,,,,,fin,2,,
journal of international money and finance,0261-5606,,,,,,,,,fin,2
journal of knowledge management,1367-3270,tho,4,org/stud,4,org/stud,3,org/stud,3,org/stud,2
journal of labor economics,0734-306X,,,,,,,,,econ,1
journal of labor research,0195-3613,,,,,,,hrm,4,hrm,4
journal of law and economics,0022-2186,,,,,,,,,econ,1
journal of law economics and organization,8756-6222,,,,,,,,,econ,2
journal of legal studies,0047-2530,,,,,,,,,econ,3
journal of macroeconomics,0164-0704,,,,,,,,,econ,3
journal of macromarketing,0276-1467,mkg,3,mkg,3,mkg,3,mkg,3,mkg,3
journal of management,0149-2063,mgtgen,2,gen/man,1,gen/man,1,gen/man,1,gen/man,1
journal of management  organization,1833-3672,,,,,,,,,gen/man,4
"journal of management accounting 
research",1049-2127,,,acc,3,acc,3,acc,3,,
journal of management accounting research,1049-2127,cpt,3,,,,,,,acc,3
"journal of management and 
governance",1385-3457,,,acc/fin,4,,,acc/fin,4,,
journal of management and governance,1385-3457,,,,,acc/fin,4,,,gen/man,4
journal of management development,0262-1711,grh,4,hrm,4,hrm,4,hrm,4,hrm,4
journal of management history,1751-1348,,,,,,,,,bus/hist,4
journal of management in engineering,0742-597X,,,,,,,,,sector,4
"journal of management information 
systems",0742-1222,,,,,mis,1,mis,1,,
journal of management information systems,0742-1222,,,,,,,,,mis,1
journal of management inquiry,1056-4926,mgtgen,3,gen/man,3,gen/man,2,gen/man,2,gen/man,2
journal of management spirituality and religion,1476-6086,,,,,,,,,gen/man,4
journal of management studies,0022-2380,mgtgen,1,gen/man,1,gen/man,1,gen/man,1,gen/man,1
journal of managerial psychology,0268-3946,grh,4,hrm,4,hrm,3,hrm,3,hrm,3
journal of manufacturating systems,0278-6125,log,3,,,,,,,,
"journal of manufacturing and 
operations management",0890-2577,,,log,3,log,4,,,,
"journal of manufacturing and operations 
management",0890-2577,log,3,,,,,,,,
journal of manufacturing systems,0278-6125,,,log,3,log,3,log,3,log,4
journal of manufacturing technology management,1741-038X,,,,,,,,,gen/man,4
journal of marketing,0022-2429,mkg,1*,mkg,1*,mkg,1*,mkg,1*,mkg,1*
journal of marketing education,0273-4753,,,,,mkg,4,mkg,4,mkg,4
journal of marketing management,0267-257X,mkg,3,mkg,3,mkg,3,mkg,3,mkg,3
journal of marketing research,0022-2437,mkg,1,mkg,1,mkg,1,mkg,1,mkg,1*
"journal of marketing theory 
and practice",1069-6679,,,,,,,mkg,4,,
"journal of marketing theory and 
practice",1069-6679,,,mkg,4,mkg,4,,,,
journal of marketing theory and practice,1069-6679,mkg,4,,,,,,,mkg,4
journal of marketing trends,1961-7798,,,,,,,,,mkg,4
journal of marketing trends,2114-8910,,,,,mkg,4,mkg,4,,
journal of mathematical economics,0304-4068,,,,,,,,,econ,2
journal of mis,0742-1222,si,1,mis,1,,,,,,
journal of monetary economics,0304-3932,,,,,,,,,econ,1
journal of money credit and banking,0022-2879,,,,,,,,,fin,1
"journal of multinational financial 
management",1042-444X,,,fin,4,fin,4,fin,4,,
journal of multinational financial management,1042-444X,fin,4,,,,,,,fin,4
journal of nursing management,0966-0429,,,hlth,4,hlth,4,hlth,4,hlth,4
"journal of occupational and 
organizational psychology",0963-1798,,,hrm,2,hrm,2,hrm,2,,
"journal of occupational and organizational 
psychology",0963-1798,grh,2,,,,,,,,
journal of occupational and organizational psychology,0963-1798,,,,,,,,,hrm,2
"journal of occupational health 
psychology",1076-8998,,,,,,,hrm,3,,
journal of occupational health psychology,1076-8998,,,,,hrm,3,,,hrm,2
journal of operations management,0272-6963,log,1,log,1,log,1,log,1,log,1*
"journal of organizational and end 
user computing",1546-2234,,,mis,3,mis,3,mis,4,,
"journal of organizational and end user 
computing",1546-2234,si,3,,,,,,,,
journal of organizational and end user computing,1546-2234,,,,,,,,,mis,4
journal of organizational behavior,0894-3796,tho,2,org/stud,1,org/stud,1,org/stud,1,org/stud,1
"journal of organizational behavior 
management",0160-8061,,,org/stud,3,org/stud,3,org/stud,4,,
journal of organizational behavior management,0160-8061,tho,3,,,,,,,org/stud,4
"journal of organizational change 
management",0953-4814,,,org/stud,3,org/stud,3,org/stud,3,,
journal of organizational change management,0953-4814,tho,3,,,,,,,org/stud,3
"journal of pension economics 
and finance",1474-7472,,,,,,,fin,4,,
"journal of pension economics and 
finance",1474-7472,,,,,fin,4,,,,
journal of pension economics and finance,1474-7472,,,,,,,,,fin,4
"journal of personal selling 
and sales management",0885-3134,,,,,,,mkg,3,,
"journal of personal selling and sales 
management",0885-3134,mkg,3,mkg,3,mkg,3,,,,
journal of personal selling and sales management,0885-3134,,,,,,,,,mkg,3
journal of personnel psychology,1866-5888,,,,,,,,,psy,4
journal of political economy,0022-3808,,,,,,,,,econ,1*
journal of portfolio management,0095-4918,fin,3,fin,3,fin,3,fin,3,fin,3
"journal of product and brand 
management",1061-0421,,,mkg,4,,,mkg,3,,
journal of product and brand management,1061-0421,mkg,4,,,mkg,4,,,mkg,4
"journal of product innovation 
management",0737-6782,,,innov,1,,,innov,1,,
journal of product innovation management,0737-6782,innov,1,,,innov,1,,,innov,1
journal of productivity analysis,0895-562X,,,,,,,,,mkg,4
journal of professions and organization,2051-8803,,,,,,,,,hrm,4
journal of psychology interdisciplinary and applied,1940-1019,,,,,,,,,psy,4
"journal of public administration 
research and theory",1053-1858,,,pub/sec,1,pub/sec,1,pub/sec,2,,
"journal of public administration research and 
theory",1053-1858,publique,1,,,,,,,,
journal of public administration research and theory,1053-1858,,,,,,,,,pub/sec,2
journal of public economics,0047-2727,,,,,,,,,econ,1
"journal of public policy and 
marketing",0743-9156,,,mkg,3,,,mkg,2,,
journal of public policy and marketing,0743-9156,mkg,3,,,mkg,3,,,mkg,2
