journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
bankers markets and investors,2101-9304,,,,,,,,,fin,4
behavioral research in accounting,1050-4753,cpt,3,acc,3,acc,3,acc,3,acc,3
bmc health services research,1472-6963,sant,3,hlth,3,hlth,3,hlth,3,hlth,4
bmj quality and safety,2044-5415,,,,,hlth,2,,,,
"bmj quality and safety 
original research",2044-5415,,,,,,,hlth,2,,
bmj quality and safety original research,2044-5415,,,,,,,,,hlth,2
british accounting review,0890-8389,cpt,3,acc,3,acc,3,acc,3,acc,3
british food journal,0007-070X,,,,,,,,,sector,4
british journal of industrial relations,0007-1080,grh,2,hrm,2,hrm,2,hrm,2,hrm,2
british journal of management,1045-3172,mgtgen,2,gen/man,2,gen/man,2,gen/man,2,gen/man,1
british journal of sociology,0007-1315,,,,,,,,,soc,3
"british medical journal quality and 
safety",1475-3898,,,hlth,3,,,,,,
brookings papers on economic activity,0007-2303,,,,,,,,,econ,2
building research and information,0961-3218,,,,,,,,,sector,4
bulletin français dactuariat,1779-7160,fin,4,fin,4,fin,4,fin,4,,
"bulletin of the world 
health organization",0042-9686,,,hlth,3,,,,,,
"bulletin of the world health 
organization",0042-9686,,,,,hlth,3,hlth,3,,
bulletin of the world health organization,0042-9686,sant,3,,,,,,,hlth,4
"business and information systems 
engineering",1867-0202,,,,,,,mis,3,,
"business and information systems 
engineering wirtschaftsinformatik",1867-0202,,,mis,4,mis,4,,,,
"business and information systems engineering 
wirtschaftsinformatik",1867-0202,si,4,,,,,,,,
business and information systems engineering bise formerly wirtschaftsinformatik wi,1867-0202,,,,,,,,,mis,4
business and politics,1469-3569,,,,,,,,,gen/man,4
business and professional ethics journal,0277-2027,,,,,,,,,gen/man,4
business and society,0007-6503,strat,4,strat,4,strat,3,strat,2,strat,2
business ethics a european review,0962-8770,,,hrm,4,hrm,4,hrm,3,hrm,3
business ethics a european review,1467-8594,grh,4,,,,,,,,
business ethics quarterly,1052-150X,grh,4,hrm,2,hrm,2,hrm,2,,
business ethics quarterly business ethics the environment and responsibility,1052-150X,,,,,,,,,hrm,2
business history,0007-6791,hpm,2,bus/hist,2,bus/hist,2,bus/hist,2,bus/hist,2
business history review,0007-6805,hpm,3,bus/hist,3,bus/hist,3,bus/hist,3,bus/hist,3
business horizons,0007-6813,,,,,,,gen/man,3,gen/man,3
"business process management 
journal",1463-7154,,,mis,3,,,mis,3,,
business process management journal,1463-7154,si,3,,,mis,3,,,mis,4
"business strategy and 
the environment",0964-4733,,,strat,3,,,,,,
"business strategy and the 
environment",0964-4733,,,,,,,strat,3,,
business strategy and the environment,0964-4733,strat,4,,,strat,3,,,strat,3
cahiers scientifiques du transport,1150-8809,,,log,4,log,4,log,4,,
california management review,0008-1256,,,,,gen/man,2,gen/man,2,gen/man,2
cambridge journal of economics,0309-166X,,,,,,,,,econ,3
"canadian journal of administrative 
sciences  revue canadienne des 
sciences administratives",0825-0383,,,gen/man,3,,,,,,
"canadian journal of administrative 
sciences  revue canadienne des 
sciences de ladministration",0825-0383,,,,,gen/man,3,gen/man,3,,
"canadian journal of administrative sciences  
revue canadienne des sciences administratives",0825-0383,mgtgen,3,,,,,,,,
canadian journal of administrative sciences  revue canadienne des sciences de ladministration,0825-0383,,,,,,,,,gen/man,3
career development international,1362-0436,,,hrm,4,hrm,4,hrm,4,hrm,4
